Fecha,Casos,IA14,Fallecidos
2020-10-20,988322,379.4031578947368,34210
2020-10-21,1005295,387.3578947368421,34366
2020-10-22,1026281,411.3221052631579,34521
2020-10-23,1046132,428.69105263157894,34752
2020-10-26,1098320,483.77473684210526,35031
2020-10-27,1116738,510.2947368421053,35298
2020-10-28,1136503,533.3984210526315,35466
2020-10-29,1160083,555.328947368421,35639
2020-10-30,1185678,577.2057894736841,35878
2020-11-02,1240697,616.751052631579,36257
2020-11-03,1259366,623.9647368421053,36495
2020-11-04,1284408,631.3694736842106,38118
2020-11-05,1306316,633.6031578947368,38486
2020-11-06,1328832,638.0178947368421,38833
2020-11-09,1381218,624.3642105263158,39345
2020-11-10,1398613,621.3021052631578,39756
2020-11-11,1417709,613.358947368421,40105
2020-11-12,1437220,603.2826315789474,40461
2020-11-13,1458591,590.1452631578948,40769
2020-11-16,1496864,537.6678947368422,41253
2020-11-17,1510023,528.4273684210526,41688
2020-11-18,1525341,514.561052631579,42039
2020-11-19,1541574,496.0478947368421,42291
2020-11-20,1556730,472.7505263157895,42619
2020-11-23,1582616,419.8663157894737,43131
2020-11-24,1594844,404.2184210526316,43668
2020-11-25,1605066,381.2084210526316,44037
2020-11-26,1617355,359.58526315789476,44374
2020-11-27,1628208,339.2,44668
2020-11-30,1648187,302.0415789473684,45069
2020-12-01,1656444,290.6373684210526,45511
2020-12-02,1665775,276.5242105263158,45784
2020-12-03,1675902,262.71,46038
2020-12-04,1684647,250.84157894736842,46252
2020-12-07,1702328,229.42473684210526,46646
2020-12-09,1712101,206.19263157894736,47019
2020-12-10,1720056,200.92789473684212,47344
2020-12-11,1730575,200.7178947368421,47624
2020-12-14,1751884,199.42368421052632,48013
2020-12-15,1762212,202.56263157894736,48401
2020-12-16,1773290,200.93105263157895,48596
2020-12-17,1785421,206.19315789473686,48777
2020-12-18,1797236,210.82473684210527,48926
2020-12-21,1819249,214.8426315789474,49260
2020-12-22,1829903,223.09789473684208,49520
2020-12-23,1842289,234.99473684210525,49698
2020-12-24,1852226,241.44736842105263,49824
2020-12-28,1879413,229.2336842105263,50122
2020-12-29,1893502,236.05263157894737,50442
2020-12-30,1910218,244.54263157894738,50689
2020-12-31,1928265,258.56157894736845,50837
2021-01-04,1958844,272.61894736842106,51078
2021-01-05,1982544,293.07842105263154,51430
2021-01-07,2024904,316.39473684210526,51675
2021-01-08,2050360,344.71789473684214,51874
2021-01-11,2111782,421.59526315789475,52275
2021-01-12,2137220,440.71421052631575,52683
2021-01-13,2176089,489.11263157894734,52878
2021-01-14,2211967,521.6568421052631,53079
2021-01-15,2252164,563.8757894736842,53314
2021-01-18,2336451,666.9747368421052,53769
2021-01-19,2370742,691.8805263157894,54173
2021-01-20,2412318,715.8794736842104,54637
2021-01-21,2456675,769.1463157894738,55041
2021-01-22,2499560,800.2042105263157,55441
2021-01-25,2593382,848.11,56208
2021-01-26,2629817,856.3726315789473,56799
2021-01-27,2670102,858.8152631578947,57291
2021-01-28,2705001,856.7715789473684,57806
2021-01-29,2743119,853.568947368421,58319
2021-02-01,2822805,820.0605263157895,59081
2021-02-02,2851869,801.1342105263158,59805
2021-02-03,2883465,774.8994736842105,60370
2021-02-04,2913425,738.9810526315789,60802
2021-02-05,2941990,703.9857894736842,61386
2021-02-08,2989085,618.4505263157895,62295
2021-02-09,3005487,583.1547368421053,63061
2021-02-10,3023601,542.0389473684211,63704
2021-02-11,3041454,498.56894736842105,64217
2021-02-12,3056035,459.54157894736846,64747
2021-02-15,3086286,382.8742105263158,65449
2021-02-16,3096343,356.63105263157894,65979
2021-02-17,3107172,324.1584210526316,66316
2021-02-18,3121687,297.2936842105263,66704
2021-02-19,3133122,272.73,67101
2021-02-22,3153971,231.96315789473684,67636
2021-02-23,3161432,219.15684210526314,68079
2021-02-24,3170644,206.80947368421053,68468
2021-02-25,3180212,194.75157894736844,68813
2021-02-26,3188553,183.06684210526316,69142
2021-03-01,3204531,165.2521052631579,69609
2021-03-02,3130184,163.55210526315787,69801
2021-03-03,3136321,156.99947368421053,70247
2021-03-04,3142358,151.84052631578948,70501
2021-03-05,3149012,150.62842105263158,71138
